TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT
ITST_Test_1,dbo,__AudioVideoMigrationHistory,MigrationId,1,nvarchar,150,NO,
ITST_Test_1,dbo,__AudioVideoMigrationHistory,ProductVersion,2,nvarchar,32,NO,
ITST_Test_1,dbo,ABtestResults,Id,1,bigint,,NO,
ITST_Test_1,dbo,ABtestResults,UserId,2,int,,NO,
ITST_Test_1,dbo,ABtestResults,TestName,3,nvarchar,32,NO,
ITST_Test_1,dbo,ABtestResults,Discriminator,4,nvarchar,64,NO,
ITST_Test_1,dbo,ABtestResults,IsPersistant,5,bit,,NO,
ITST_Test_1,dbo,ABtestResults,RowVersion,6,int,,NO,
ITST_Test_1,dbo,ABtestResults,CreateTime,7,datetime,,NO,
ITST_Test_1,dbo,ABtestResults,LastUpdateTime,8,datetime,,NO,
ITST_Test_1,dbo,ActionAudits,Id,1,bigint,,NO,
ITST_Test_1,dbo,ActionAudits,WebSessionAuditId,2,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,ActionInt,3,int,,NO,
ITST_Test_1,dbo,ActionAudits,ActionTime,4,datetime,,NO,
ITST_Test_1,dbo,ActionAudits,AuditTypeInt,5,int,,NO,
ITST_Test_1,dbo,ActionAudits,UserProjectId,6,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,EnvironmentPolicyId,7,int,,YES,
ITST_Test_1,dbo,ActionAudits,ProjectPrototypeId,8,int,,YES,
ITST_Test_1,dbo,ActionAudits,RowVersion,9,int,,NO,
ITST_Test_1,dbo,ActionAudits,CreateTime,10,datetime,,NO,
ITST_Test_1,dbo,ActionAudits,LastUpdateTime,11,datetime,,NO,
ITST_Test_1,dbo,ActionAudits,DstTemplateId,12,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,TemplateId,13,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,FolderId,14,int,,YES,
ITST_Test_1,dbo,ActionAudits,OriginatorInt,15,int,,NO,
ITST_Test_1,dbo,ActionAudits,UserId,16,int,,YES,
ITST_Test_1,dbo,ActionAudits,BlockedUserId,17,int,,YES,
ITST_Test_1,dbo,ActionAudits,WasBlocked,18,bit,,YES,
ITST_Test_1,dbo,ActionAudits,Reason,19,nvarchar,-1,YES,
ITST_Test_1,dbo,ActionAudits,FormerRootUserId,20,int,,YES,
ITST_Test_1,dbo,ActionAudits,ProjectId,21,int,,YES,
ITST_Test_1,dbo,ActionAudits,ResourceQuota_DiskSizeMB,22,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,ResourceQuota_CpuCount,23,int,,YES,
ITST_Test_1,dbo,ActionAudits,ResourceQuota_MemorySizeMB,24,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,AlwaysOnUserId,25,int,,YES,
ITST_Test_1,dbo,ActionAudits,WasEnabled,26,bit,,YES,
ITST_Test_1,dbo,ActionAudits,QuotaUserId,27,int,,YES,
ITST_Test_1,dbo,ActionAudits,StudentId,28,int,,YES,
ITST_Test_1,dbo,ActionAudits,ResourceTypeInt,29,int,,YES,
ITST_Test_1,dbo,ActionAudits,QuotaScopeInt,30,int,,YES,
ITST_Test_1,dbo,ActionAudits,ErvinId,31,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,EntAppEnvId,32,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,ContractId,33,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,QuotaActionInt,34,int,,YES,
ITST_Test_1,dbo,ActionAudits,ActionLimitType,35,int,,YES,
ITST_Test_1,dbo,ActionAudits,ActionDataJson,36,nvarchar,-1,YES,
ITST_Test_1,dbo,ActionAudits,MetricViolationsJson,37,nvarchar,-1,YES,
ITST_Test_1,dbo,ActionAudits,AudioVideoMeetingId,38,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,AudioVideoAttendeeId,39,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,MeetingAuditActionInt,40,int,,YES,
ITST_Test_1,dbo,ActionAudits,CourseId,41,bigint,,YES,
ITST_Test_1,dbo,ActionAudits,OriginInt,42,int,,YES,
ITST_Test_1,dbo,ActionAudits,AnalyticsTypeInt,43,int,,YES,
ITST_Test_1,dbo,active_backend_id_is_null,Id,1,int,,NO,
ITST_Test_1,dbo,active_backend_id_is_null,Host,2,nchar,128,NO,
ITST_Test_1,dbo,active_backend_id_is_null,CreateTime,3,datetime,,NO,(getdate())
ITST_Test_1,dbo,active_backend_id_is_null,LoginName,4,nchar,30,NO,
ITST_Test_1,dbo,active_backend_id_is_null,EnvId,5,bigint,,NO,
ITST_Test_1,dbo,active_backend_id_is_null,OldActiveBackendEnvId,6,bigint,,YES,
ITST_Test_1,dbo,active_backend_id_is_null,NewActiveBackendEnvId,7,bigint,,YES,
ITST_Test_1,dbo,active_backend_id_is_null_full,Id,1,int,,NO,
ITST_Test_1,dbo,active_backend_id_is_null_full,Host,2,nchar,128,NO,
ITST_Test_1,dbo,active_backend_id_is_null_full,CreateTime,3,datetime,,NO,(getdate())
