FK_NAME,PARENT_TABLE,PARENT_COLUMN,REFERENCED_TABLE,REFERENCED_COLUMN,PARENT_SCHEMA,REFERENCED_SCHEMA
FK_Users_ABtestResults_UserId,ABtestResults,UserId,Users,Id,dbo,dbo
FK_BackendMachines_ActionAudits_DstTemplateId,ActionAudits,DstTemplateId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_ActionAudits_TemplateId,ActionAudits,TemplateId,BackendMachines,Id,dbo,dbo
FK_Contracts_ActionAudits_ContractId,ActionAudits,ContractId,Contracts,Id,dbo,dbo
FK_Courses_ActionAudits_CourseId,ActionAudits,CourseId,Courses,Id,dbo,dbo
FK_EnvironmentPolicies_ActionAudits_EnvironmentPolicyId,ActionAudits,EnvironmentPolicyId,EnvironmentPolicies,Id,dbo,dbo
FK_Envs_ActionAudits_EntAppEnvId,ActionAudits,EntAppEnvId,Envs,Id,dbo,dbo
FK_ExternalResourcesEnvPrototypeVersions_ActionAudits_ErvinId,ActionAudits,ErvinId,ExternalResourcesEnvPrototypeVersions,Id,dbo,dbo
FK_FastUploadFolders_ActionAudits_FolderId,ActionAudits,FolderId,FastUploadFolders,Id,dbo,dbo
FK_ProjectPrototypes_ActionAudits_ProjectPrototypeId,ActionAudits,ProjectPrototypeId,ProjectPrototypes,Id,dbo,dbo
FK_Projects_ActionAudits_ProjectId,ActionAudits,ProjectId,Projects,Id,dbo,dbo
FK_Students_ActionAudits_StudentId,ActionAudits,StudentId,Students,Id,dbo,dbo
FK_Users_ActionAudits_QuotaUserId,ActionAudits,QuotaUserId,Users,Id,dbo,dbo
FK_Users_ActionAudits_AlwaysOnUserId,ActionAudits,AlwaysOnUserId,Users,Id,dbo,dbo
FK_Users_ActionAudits_FormerRootUserId,ActionAudits,FormerRootUserId,Users,Id,dbo,dbo
FK_Users_ActionAudits_BlockedUserId,ActionAudits,BlockedUserId,Users,Id,dbo,dbo
FK_Users_ActionAudits_UserId,ActionAudits,UserId,Users,Id,dbo,dbo
FK_UsersProjects_ActionAudits_UserProjectId,ActionAudits,UserProjectId,UsersProjects,Id,dbo,dbo
FK_WebSessionAudits_ActionAudits_WebSessionAuditId,ActionAudits,WebSessionAuditId,WebSessionAudits,Id,dbo,dbo
FK_AudioVideoMeetings_AudioVideoAttendees_MeetingId,AudioVideoAttendees,AudioVideoMeetingId,AudioVideoMeetings,Id,dbo,dbo
FK_ExternalResourcesEnvPrototypeVersions_AwsAccountRuns_WervinId,AwsAccountRuns,WervinId,ExternalResourcesEnvPrototypeVersions,Id,dbo,dbo
FK_AwsAccountPools_AwsAccounts_AwsAccountPoolId,AwsAccounts,AwsAccountPoolId,AwsAccountPools,Id,dbo,dbo
FK_AwsAccountRuns_AwsAccounts_LatestAwsAccountRunId,AwsAccounts,LatestAwsAccountRunId,AwsAccountRuns,Id,dbo,dbo
FK_BackendEnvs_BackendEnvPreparationAudits_BackendEnvId,BackendEnvPreparationAudits,BackendEnvId,BackendEnvs,Id,dbo,dbo
FK_EnvRuns_BackendEnvPreparationAudits_EnvRunId,BackendEnvPreparationAudits,EnvRunId,EnvRuns,Id,dbo,dbo
FK_BackendMachineGroups_BackendEnvs_Id,BackendEnvs,Id,BackendMachineGroups,Id,dbo,dbo
FK_BackendPrototypeEnvs_BackendEnvs_BackendPrototypeEnvId,BackendEnvs,BackendPrototypeEnvId,BackendPrototypeEnvs,Id,dbo,dbo
FK_Courses_BackendEnvs_CourseId,BackendEnvs,CourseId,Courses,Id,dbo,dbo
FK_Envs_BackendEnvs_EnvId,BackendEnvs,EnvId,Envs,Id,dbo,dbo
FK_BackendEnvs_Regions_RegionId,BackendEnvs,RegionId,Regions,Id,dbo,dbo
FK_Prototypes_BackendMachineGroups_PrototypeId,BackendMachineGroups,PrototypeId,Prototypes,Id,dbo,dbo
FK_BackendMachines_BackendMachineRegionAmis_BackendAwsMachineId,BackendMachineRegionAmis,BackendAwsMachineId,BackendMachines,Id,dbo,dbo
FK_Regions_BackendMachineRegionAmis_RegionId,BackendMachineRegionAmis,RegionId,Regions,Id,dbo,dbo
FK_BackendMachineGroups_BackendMachines_BackendMachineGroupId,BackendMachines,BackendMachineGroupId,BackendMachineGroups,Id,dbo,dbo
FK_BackendMachines_BackendMachines_RepointToParentMachineId,BackendMachines,RepointToParentMachineId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_BackendMachines_ParentMachineId,BackendMachines,ParentMachineId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_BackendMachines_OriginalTemplateMachineId,BackendMachines,OriginalTemplateMachineId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_BackendMachines_DeltaMachineId,BackendMachines,DeltaMachineId,BackendMachines,Id,dbo,dbo
FK_BackendMachines_IsoFileId,BackendMachines,IsoFileId,IsoFiles,Id,dbo,dbo
FK_MachineDomains_BackendMachines_DomainId,BackendMachines,DomainId,MachineDomains,Id,dbo,dbo
FK_Machines_BackendMachines_ActiveUIMachineId,BackendMachines,ActiveUIMachineId,Machines,Id,dbo,dbo
FK_Regions_BackendMachines_RegionId,BackendMachines,RegionId,Regions,Id,dbo,dbo
FK_TemplateVersions_BackendMachines_TemplateVersionId,BackendMachines,TemplateVersionId,TemplateVersions,Id,dbo,dbo
FK_IsoFiles_BackendNotifications_IsoFileId,BackendNotifications,IsoFileId,IsoFiles,Id,dbo,dbo
FK_Requests_BackendNotifications_ExportRequestId,BackendNotifications,ExportRequestId,Requests,Id,dbo,dbo
FK_Requests_BackendNotifications_SetSnapshotAsDefaultRequestId,BackendNotifications,SetSnapshotAsDefaultRequestId,Requests,Id,dbo,dbo
FK_Requests_BackendNotifications_ImportVirtualMachineRequestId,BackendNotifications,ImportVirtualMachineRequestId,Requests,Id,dbo,dbo
FK_BackendMachineGroups_BackendPrototypeEnvs_Id,BackendPrototypeEnvs,Id,BackendMachineGroups,Id,dbo,dbo
FK_Prototypes_BackendPrototypeRegionConfigs_PrototypeId,BackendPrototypeRegionConfigs,PrototypeId,Prototypes,Id,dbo,dbo
FK_Regions_BackendPrototypeRegionConfigs_RegionId,BackendPrototypeRegionConfigs,RegionId,Regions,Id,dbo,dbo
FK_VVisionLearnRequests_Checkpoints_VVisionLearnRequestId,Checkpoints,VVisionLearnRequestId,VVisionLearnRequests,Id,dbo,dbo
